publication_year,subfield_id,subfield_display_name,count,citation_count,country_code
2024,subfields/1707,Computer Vision and Pattern Recognition,23356,24190,CN
2024,subfields/1710,Information Systems,8066,5652,CN
2024,subfields/1703,Computational Theory and Mathematics,4353,4842,CN
2024,subfields/1702,Artificial Intelligence,27930,29411,CN
2024,subfields/1705,Computer Networks and Communications,10890,8063,CN
2024,subfields/1706,Computer Science Applications,984,947,CN
2024,subfields/1712,Software,500,332,CN
2024,subfields/1711,Signal Processing,3739,2616,CN
2024,subfields/1709,Human-Computer Interaction,1363,840,CN
2024,subfields/1708,Hardware and Architecture,1087,334,CN
2024,subfields/1704,Computer Graphics and Computer-Aided Design,1347,1006,CN
2023,subfields/1707,Computer Vision and Pattern Recognition,26810,136282,CN
2023,subfields/1710,Information Systems,8954,27345,CN
2023,subfields/1703,Computational Theory and Mathematics,4832,22192,CN
2023,subfields/1702,Artificial Intelligence,30205,121751,CN
2023,subfields/1705,Computer Networks and Communications,11908,41016,CN
2023,subfields/1706,Computer Science Applications,1093,3977,CN
2023,subfields/1712,Software,445,1123,CN
2023,subfields/1711,Signal Processing,3801,11150,CN
2023,subfields/1709,Human-Computer Interaction,1420,6117,CN
2023,subfields/1708,Hardware and Architecture,881,1461,CN
2023,subfields/1704,Computer Graphics and Computer-Aided Design,1632,1719,CN
2022,subfields/1707,Computer Vision and Pattern Recognition,23399,233944,CN
2022,subfields/1710,Information Systems,8732,60691,CN
2022,subfields/1703,Computational Theory and Mathematics,4605,37510,CN
2022,subfields/1702,Artificial Intelligence,26414,220894,CN
2022,subfields/1705,Computer Networks and Communications,11286,79333,CN
2022,subfields/1706,Computer Science Applications,1069,7825,CN
2022,subfields/1712,Software,460,2257,CN
2022,subfields/1711,Signal Processing,3600,21243,CN
2022,subfields/1709,Human-Computer Interaction,1189,10925,CN
2022,subfields/1708,Hardware and Architecture,710,2745,CN
2022,subfields/1704,Computer Graphics and Computer-Aided Design,1499,3429,CN
2021,subfields/1707,Computer Vision and Pattern Recognition,20184,340357,CN
2021,subfields/1710,Information Systems,7707,83869,CN
2021,subfields/1703,Computational Theory and Mathematics,3994,53609,CN
2021,subfields/1702,Artificial Intelligence,22168,305814,CN
2021,subfields/1705,Computer Networks and Communications,10124,117530,CN
2021,subfields/1706,Computer Science Applications,974,10137,CN
2021,subfields/1712,Software,451,2702,CN
2021,subfields/1711,Signal Processing,3141,29281,CN
2021,subfields/1709,Human-Computer Interaction,920,9301,CN
2021,subfields/1708,Hardware and Architecture,676,3801,CN
2021,subfields/1704,Computer Graphics and Computer-Aided Design,1325,4023,CN
2020,subfields/1707,Computer Vision and Pattern Recognition,16129,367021,CN
2020,subfields/1710,Information Systems,6439,111198,CN
2020,subfields/1703,Computational Theory and Mathematics,3546,69499,CN
2020,subfields/1702,Artificial Intelligence,17035,344806,CN
2020,subfields/1705,Computer Networks and Communications,9717,172463,CN
2020,subfields/1706,Computer Science Applications,765,11804,CN
2020,subfields/1712,Software,366,3297,CN
2020,subfields/1711,Signal Processing,2833,36943,CN
2020,subfields/1709,Human-Computer Interaction,725,9746,CN
2020,subfields/1708,Hardware and Architecture,615,6255,CN
2020,subfields/1704,Computer Graphics and Computer-Aided Design,789,4132,CN
2019,subfields/1707,Computer Vision and Pattern Recognition,15359,423631,CN
2019,subfields/1710,Information Systems,5349,111781,CN
2019,subfields/1703,Computational Theory and Mathematics,3260,57146,CN
2019,subfields/1702,Artificial Intelligence,14273,336379,CN
2019,subfields/1705,Computer Networks and Communications,9761,190445,CN
2019,subfields/1706,Computer Science Applications,717,13082,CN
2019,subfields/1712,Software,350,4456,CN
2019,subfields/1711,Signal Processing,2936,40036,CN
2019,subfields/1709,Human-Computer Interaction,652,10649,CN
2019,subfields/1708,Hardware and Architecture,642,6593,CN
2019,subfields/1704,Computer Graphics and Computer-Aided Design,483,2183,CN
