,Country/Region,Citations,Citations per Publication,Field-Weighted Citation Impact
1,China,9149913,8.5,1.03
2,United States,6721604,13.2,1.67
3,India,2285643,5.8,1.1
4,United Kingdom,2130228,12.9,1.59
5,Germany,1571712,9,1.31
6,Australia,1396320,16.8,1.85
7,Italy,1225888,9.5,1.27
8,Canada,1183449,12.1,1.48
9,South Korea,1093571,10.4,1.16
10,France,915298,8.7,1.14
11,Spain,862394,9.5,1.13
12,Saudi Arabia,731537,13.2,1.58
13,Japan,724527,6.1,0.83
14,Taiwan,495438,9,1.04
15,Netherlands,488421,9.9,1.4
16,Malaysia,460403,9.4,1.15
17,Poland,396474,8.1,0.95
18,Brazil,381933,7,0.79
19,Russian Federation,331633,3.8,0.62
20,Indonesia,188857,3.8,0.69
