researcher,institution,pid,sub_areas
Adenauer Yamin,UFPEL,y/AdenauerCYamin,"['ai', 'arch']"
Adenilso Simao,ICMC/USP,24/261,['se']
Adenilton da Silva,UFPE,03/8672,"['ai', 'hardware']"
Adiel Almeida Filho,UFPE,51/8647,"['ai', 'or']"
Adilson Elias Xavier,COPPE/UFRJ,72/8017,['ai']
Adriana Vivacqua,DCC/UFRJ,10/6491,['chi']
Adriano Oliveira,UFPE,80/3742,"['ai', 'data', 'se', 'vision']"
Adriano Pereira,UFMG,73/6430,"['ai', 'data', 'dbis', 'ir']"
Adriano Veloso,UFMG,12/919,"['graphics', 'ir']"
Adriao Duarte Doria Neto,UFRN,47/1020,['ai']
Afonso Paiva,ICMC/USP,18/4238,"['ai', 'graphics']"
Afonso Sales,PUC-RS,34/2428,['se']
Agma Traina,ICMC/USP,t/AgmaJMTraina,"['dbis', 'graphics']"
Alan Valejo,UFSCar,149/9198,"['ai', 'net']"
Alba Melo,UnB,m/AlbaCMAMelo,"['arch', 'dbis', 'ds']"
Alberto Ferreira De Souza,UFES,82/3659,"['ai', 'graphics', 'vision']"
Alberto Laender,UFMG,l/AHFLaender,['dbis']
Alberto Raposo,PUC-Rio,r/AlbertoBarbosaRaposo,"['chi', 'graphics']"
Alberto Schaeffer Filho,UFRGS,89/1649,"['ds', 'net']"
Alceu Souza Britto,PUCPR,98/5101,"['ai', 'data', 'graphics', 'security', 'vision']"
Aldebaro Klautau,FCT/UFPA,44/1366,['net']
Aldo von Wangenhein,UFSC,w/AldovonWangenheim,"['robotics', 'vision']"
Aldri dos Santos,UFMG,85/7266,"['dbis', 'net', 'security']"
Alejandro Frery,UFAL,f/ACFrery,['ai']
Alessandra Alaniz Macedo,FFCLRP/USP,m/AlessandraAMacedo,['bio']
Alessandro Garcia,PUC-Rio,g/AlessandroFGarcia,['se']
Aleteia de Araujo,UnB,38/2179,"['arch', 'bio', 'dbis', 'ds', 'net']"
Alex Sandro Gomes,UFPE,43/5447,"['ai', 'cse']"
Alex Sandro Roschildt Pinto,UFSC,97/1179,['ds']
Alex Vieira,UFJF,02/4387,"['ai', 'data', 'dbis', 'graphics', 'net', 'robotics']"
Alexandre Delbem,ICMC/USP,92/3940,"['ai', 'ds']"
Alexandre Falcao,UNICAMP,f/AlexandreXFalcao,"['data', 'graphics', 'vision']"
Alexandre Levada,UFSCar,35/3314,"['graphics', 'vision']"
Alexandre Mota,UFPE,m/AlexandreMota,"['formal', 'pl', 'se']"
Alexandre Plastino,UFF,54/401,"['ai', 'bio', 'data', 'ds', 'ir', 'or', 'se']"
Alexandre Rossi Paschoal,UTFPR,223/7311,['bio']
Alexandre Salles da Cunha,UFMG,18/1842,['or']
Alexandre Sena,UERJ,73/1177,['arch']
Alexandre Sztajnberg,UERJ,92/4374,['ai']
Alexandre Vasconcelos,UFPE,71/4614,['se']
Alexandro Baldassin,UNESP,22/3545,"['ai', 'arch', 'graphics', 'pl']"
Alfredo Goldman,IME/USP,g/AlfredoGoldman,"['arch', 'ds', 'hardware', 'se']"
Aline Paes,UFF,95/4928,"['ai', 'arch', 'data', 'ds', 'ir']"
Aline Villavicencio,UFRGS,v/AlineVillavicencio,"['ai', 'vision']"
Alisson Vasconcelos de Brito,UFPB,35/5746,"['graphics', 'robotics']"
Alneu de Andrade Lopes,ICMC/USP,60/5946,"['ai', 'data', 'theory']"
Altair Olivo Santin,PUCPR,38/5417,"['arch', 'net', 'security']"
Altigran Silva,UFAM,s/ASdaSilva,"['arch', 'data', 'ir', 'se']"
Aluizio Araujo,UFPE,a/AFRAraujo,"['ai', 'graphics', 'robotics']"
Alvaro Fazenda,UNIFESP,08/2528-1,['arch']
Alvaro Moreira,UFRGS,50/3403,['formal']
Amauri Holanda de Souza Junior,IFCE,131/3352,"['ai', 'data']"
Ana Bazzan,UFRGS,b/AnaLCBazzan,"['ai', 'arch', 'data']"
Ana Carolina Lorena,UNIFESP,97/2733,"['ai', 'data']"
Ana Carolina Salgado,UFPE,23/6139,['data']
Ana Cristina Bicharra Garcia,UNIRIO,45/6671,['chi']
Ana Cristina Vendramin,UTFPR,96/9459,['robotics']
Ana Karolinna Maia,UFC,68/9890,['theory']
Ana Paula Couto da Silva,UFMG,47/2795,"['arch', 'ir']"
Ana Teresa Martins,UFC,59/1719,['theory']
Anamaria Moreira,DCC/UFRJ,17/3197,"['dbis', 'formal']"
Anand Subramanian,UFPB,37/882-1,"['net', 'or']"
Anarosa Brandao,POLI/USP,68/870,['ir']
Anderson Chaves Carniel,UFSCar,122/8350,"['data', 'dbis', 'ds']"
Anderson Faustino,UEM,87/6562,"['arch', 'pl']"
Anderson Maciel,UFRGS,72/4175,"['chi', 'graphics']"
Anderson Rocha Tavares,UFRGS,156/7135,"['ai', 'bio']"
Anderson Rocha,UNICAMP,81/2446,"['ai', 'security', 'vision']"
Anderson Uchoa,UFC,199/5439,['se']
Andre Backes,UFU,72/1363,"['ai', 'ds', 'vision']"
Andre Coelho,UNIFOR,c/AndreLVCoelho,"['ai', 'data']"
Andre Drummond,UnB,72/6853,['net']
Andre Endo,UFSCar,55/7526,['se']
Andre Freire,UFLA,32/6218,"['chi', 'graphics', 'se']"
Andre Fujita,IME/USP,77/7012,['data']
Andre Grahl Pereira,UFRGS,17/8199,['ai']
Andre Gregio,UFPR,115/4570,"['ai', 'ds', 'security']"
Andre Gustavo dos Santos,UFV,84/525,['or']
Andre Hora,UFMG,54/7440,['se']
Andre Inacio Reis,UFRGS,29/1197,['hardware']
Andre Kashiwabara,UTFPR,155/2609,['bio']
Andre Luis Vignatti,UFPR,163/8277,"['data', 'theory']"
Andre Luiz Lins de Aquino,UFAL,13/5158,"['ai', 'arch', 'net', 'or']"
Andre Luiz Pires Guedes,UFPR,88/5206,['theory']
Andre Ponce de Leon Carvalho,ICMC/USP,c/ACPLFdCarvalho,"['ai', 'bio', 'data', 'vision']"
Andre Rauber du Bois,UFPEL,21/3472,['pl']
Andre Renato Sales Amaral,UFES,92/3519,"['ai', 'or']"
Andre Renato Villela da Silva,UFF,67/7433,['or']
Andre Rossi,UNESP,86/4146,"['ai', 'or', 'theory']"
Andre Santos,UFPE,s/AndreSantos,['se']
Andre Schneider de Oliveira,UTFPR,160/1451,"['ai', 'robotics']"
Andrea Bianchi,UFOP,56/8906,['ai']
Andreia Malucelli,PUCPR,82/191,"['chi', 'se']"
Andrey Brito,UFCG,25/4955,"['arch', 'data', 'ds']"
Andrey Pimentel,UFPR,70/2041,['se']
Anelise Munaretto,UTFPR,09/2276,"['ai', 'robotics']"
Anisio Lacerda,UFMG,90/844,['data']
Anna Costa,POLI/USP,r/AnnaHelenaRealiCosta,"['ai', 'ir']"
Anne Canuto,UFRN,c/AnneMPCanuto,"['ai', 'data']"
Anselmo Cardoso de Paiva,UFMA,p/AnselmoCardosodePaiva,"['ai', 'graphics', 'vision']"
Anselmo Montenegro,UFF,21/6489,['graphics']
Antonio Abelem,UFPA,16/7815,['net']
Antonio Alfredo Ferreira Loureiro,UFMG,l/AntonioAlfredoFerreiraLoureiro,"['data', 'ds', 'net']"
Antonio Apolinario,UFBA,117/8406,['graphics']
Antonio Augusto Medeiros Frohlich,UFSC,43/6521,"['arch', 'hardware', 'security', 'vision']"
Antonio Augusto de Aragao Rocha,UFF,209/2422,"['arch', 'data']"
Antonio Carlos Schneider Beck,UFRGS,02/7021,"['arch', 'ds', 'hardware']"
Antonio Sementille,UNESP,86/1502,['graphics']
Antonio Tadeu Gomes,LNCC,96/1748,['arch']
Aparecido Marana,UNESP,36/1416,"['ai', 'graphics']"
Arilo Dias Neto,UFAM,27/11253,['se']
Arnaldo Araujo,UFMG,a/ArnaldodeAlbuquerqueAraujo,"['graphics', 'vision']"
Arthur Francisco Lorenzon,UFRGS,160/4663,"['arch', 'ds', 'hardware', 'net']"
Artur Ziviani,LNCC,47/772,"['data', 'net']"
