id,doi,title,publication_year,authorships,subfield,primary_topic
W4406444891,10.61164/rmnm.v1i1.3420,STUDY ON THE APPLICATION OF ARTIFICIAL INTELLIGENCE IN MATERIAL MOVEMENT BASED ON SCIENTIFIC PUBLICATIONS,2025,"[{""id"": ""A5008314423"", ""name"": ""Daniel Nascimento-e-Silva"", ""institutions"": [{""id"": ""I4210148508"", ""display_name"": ""Instituto Federal do Amazonas""}], ""countries"": [""BR""]}, {""id"": ""A5115901637"", ""name"": ""Jhuly de Souza Veloso"", ""institutions"": [{""id"": ""I4210148508"", ""display_name"": ""Instituto Federal do Amazonas""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1702"", ""display_name"": ""Artificial Intelligence""}","{'id': 'T13904', 'display_name': 'Artificial Intelligence Applications'}"
W4405976167,10.31512/vivencias.v21i42.957,ACESSIBILIDADE EM BIBLIOTECAS UNIVERSITÁRIAS,2025,"[{""id"": ""A5077676727"", ""name"": ""Rafael Ferreira"", ""institutions"": [{""id"": ""I62885914"", ""display_name"": ""Universidade Federal do Amazonas""}], ""countries"": [""BR""]}, {""id"": ""A5099517238"", ""name"": ""Natasha Lima Medeiros Ferreira"", ""institutions"": [{""id"": ""I4210099176"", ""display_name"": ""Universidade Cidade de S\u00e3o Paulo""}], ""countries"": [""BR""]}, {""id"": ""A5016472193"", ""name"": ""Ida Carneiro Martins"", ""institutions"": [{""id"": ""I4210099176"", ""display_name"": ""Universidade Cidade de S\u00e3o Paulo""}], ""countries"": [""BR""]}, {""id"": ""A5002464219"", ""name"": ""Roberto Gim\u00e9nez"", ""institutions"": [{""id"": ""I4210099176"", ""display_name"": ""Universidade Cidade de S\u00e3o Paulo""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1710"", ""display_name"": ""Information Systems""}","{'id': 'T13166', 'display_name': 'Information Science and Libraries'}"
W4405978671,10.21041/ra.v15i1.783,Modelo basado en YOLOv8 para la detección automática de daños en tejados residenciales,2025,"[{""id"": ""A5080351467"", ""name"": ""Alisson Clay Rios da Silva"", ""institutions"": [{""id"": ""I126158947"", ""display_name"": ""Universidade Federal da Bahia""}], ""countries"": [""BR""]}, {""id"": ""A5111325893"", ""name"": ""Antonio Gilson Barbosa Azevedo"", ""institutions"": [{""id"": ""I126158947"", ""display_name"": ""Universidade Federal da Bahia""}], ""countries"": [""BR""]}, {""id"": ""A5115738329"", ""name"": ""Fernando Humberto de Almeida Moraes Neto"", ""institutions"": [{""id"": ""I126158947"", ""display_name"": ""Universidade Federal da Bahia""}], ""countries"": [""BR""]}, {""id"": ""A5100345307"", ""name"": ""Paulo Resende da Silva"", ""institutions"": [{""id"": ""I126158947"", ""display_name"": ""Universidade Federal da Bahia""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1702"", ""display_name"": ""Artificial Intelligence""}","{'id': 'T11512', 'display_name': 'Anomaly Detection Techniques and Applications'}"
W4405981359,10.1080/07391102.2024.2446676,Molecular dynamics of transferrin receptor binder peptides: unlocking blood-brain barrier for enhanced CNS drug delivery,2025,"[{""id"": ""A5020510374"", ""name"": ""Luiz Patrick Cordeiro Josino"", ""institutions"": [{""id"": ""I59606676"", ""display_name"": ""Universidade Federal do Par\u00e1""}], ""countries"": [""BR""]}, {""id"": ""A5017496556"", ""name"": ""Renan Patrick da Penha Valente"", ""institutions"": [{""id"": ""I59606676"", ""display_name"": ""Universidade Federal do Par\u00e1""}], ""countries"": [""BR""]}, {""id"": ""A5002923014"", ""name"": ""M.L. Silva"", ""institutions"": [{""id"": ""I59606676"", ""display_name"": ""Universidade Federal do Par\u00e1""}], ""countries"": [""BR""]}, {""id"": ""A5027200926"", ""name"": ""Cl\u00e1udio Nahum Alves"", ""institutions"": [{""id"": ""I59606676"", ""display_name"": ""Universidade Federal do Par\u00e1""}], ""countries"": [""BR""]}, {""id"": ""A5021424321"", ""name"": ""Anderson Henrique Lima e Lima"", ""institutions"": [{""id"": ""I59606676"", ""display_name"": ""Universidade Federal do Par\u00e1""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1703"", ""display_name"": ""Computational Theory and Mathematics""}","{'id': 'T10211', 'display_name': 'Computational Drug Discovery Methods'}"
W4405985512,10.29333/iejme/15816,Development and validation of learning objects aimed at mathematical instructions based on computational thinking,2025,"[{""id"": ""A5048134682"", ""name"": ""Jeanne Dobgenski"", ""institutions"": [{""id"": ""I99682543"", ""display_name"": ""University of Minho""}, {""id"": ""I4210143229"", ""display_name"": ""Centro Universit\u00e1rio Anhanguera""}], ""countries"": [""BR"", ""PT""]}, {""id"": ""A5000607191"", ""name"": ""Maria Elisabette Brisola Brito Prado"", ""institutions"": [{""id"": ""I4210143229"", ""display_name"": ""Centro Universit\u00e1rio Anhanguera""}, {""id"": ""I3131871626"", ""display_name"": ""Anhanguera-Uniderp University""}], ""countries"": [""BR""]}, {""id"": ""A5083574607"", ""name"": ""Ang\u00e9lica da Fontoura Garcia Silva"", ""institutions"": [{""id"": ""I3131871626"", ""display_name"": ""Anhanguera-Uniderp University""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1706"", ""display_name"": ""Computer Science Applications""}","{'id': 'T10533', 'display_name': 'Teaching and Learning Programming'}"
W4405992131,10.56712/latam.v5i6.3234,Impacto del aprendizaje basado en proyectos en la autonomía académica de los estudiantes de bachillerato,2025,"[{""id"": ""A5091535767"", ""name"": ""Jhenyffer Maisa Campos de Campos"", ""institutions"": [{""id"": ""I4210098355"", ""display_name"": ""A\u00e7\u00e3o Educativa""}], ""countries"": [""BR""]}, {""id"": ""A5115744356"", ""name"": ""Ingrid Carpio Quiroz"", ""institutions"": [], ""countries"": []}, {""id"": ""A5042817832"", ""name"": ""Carmen Elo\u00edsa S\u00e1nchez Molina"", ""institutions"": [{""id"": ""I4210140695"", ""display_name"": ""Universidad Independiente""}], ""countries"": [""CR""]}, {""id"": ""A5063853472"", ""name"": ""Klevert Ayrton Herrera S\u00e1nchez"", ""institutions"": [], ""countries"": []}, {""id"": ""A5064565881"", ""name"": ""Mar\u00eda L\u00f3pez Velastegui"", ""institutions"": [], ""countries"": []}]","{""id"": ""subfields/1706"", ""display_name"": ""Computer Science Applications""}","{'id': 'T14246', 'display_name': 'E-Learning and Knowledge Management'}"
W4406005022,10.16891/2317-434x.v12.e3.a2024.pp4477-4485,PANDEMIA DE COVID-19 E O COTIDIANO DE TRABALHADORAS DA SAÚDE,2025,"[{""id"": ""A5113479816"", ""name"": ""Fernanda Gabriel Torres"", ""institutions"": [{""id"": ""I59530521"", ""display_name"": ""Universidade Federal do Vale do S\u00e3o Francisco""}], ""countries"": [""BR""]}, {""id"": ""A5076880111"", ""name"": ""Margaret Olinda de Souza Carvalho e Lira"", ""institutions"": [{""id"": ""I59530521"", ""display_name"": ""Universidade Federal do Vale do S\u00e3o Francisco""}], ""countries"": [""BR""]}, {""id"": ""A5019750752"", ""name"": ""Marcelo Domingues de Faria"", ""institutions"": [{""id"": ""I59530521"", ""display_name"": ""Universidade Federal do Vale do S\u00e3o Francisco""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1710"", ""display_name"": ""Information Systems""}","{'id': 'T14071', 'display_name': 'Healthcare during COVID-19 Pandemic'}"
W4406013087,10.53877/rc9.19-553,Uso de la inteligencia artificial en el proceso de aprendizaje de estudiantes de tercer curso de bachillero,2025,"[{""id"": ""A5107376203"", ""name"": ""Marli Cristina Maldonado-Chac\u00f3n"", ""institutions"": [], ""countries"": []}, {""id"": ""A5107292889"", ""name"": ""Ginger Jadira Gord\u00f3n-Merizalde"", ""institutions"": [{""id"": ""I4210091861"", ""display_name"": ""Universidad UTE""}], ""countries"": [""EC""]}, {""id"": ""A5115751124"", ""name"": ""Flor Maril\u00fa Segovia-Guam\u00e1n"", ""institutions"": [], ""countries"": []}, {""id"": ""A5115751125"", ""name"": ""Nelly In\u00e9s Mi\u00f1o-Pe\u00f1afiel"", ""institutions"": [{""id"": ""I4210098355"", ""display_name"": ""A\u00e7\u00e3o Educativa""}, {""id"": ""I4210135160"", ""display_name"": ""Leonardo (United Kingdom)""}], ""countries"": [""BR"", ""GB""]}]","{""id"": ""subfields/1710"", ""display_name"": ""Information Systems""}","{'id': 'T12395', 'display_name': 'Educational Innovations and Technology'}"
W4406014250,10.53877/rc9.19-552,Uso Chat GPT en el Desarrollo de Actividades Escolares de Estudiantes de Educación Básica de una Institución Educativa Particular de Quito – Ecuador,2025,"[{""id"": ""A5115751231"", ""name"": ""Zulay Ismenia Manzano-Flores"", ""institutions"": [{""id"": ""I4210140695"", ""display_name"": ""Universidad Independiente""}], ""countries"": [""CR""]}, {""id"": ""A5115751232"", ""name"": ""M\u00f3nica Alexandra N\u00e1jera-Verdezoto"", ""institutions"": [{""id"": ""I4210098355"", ""display_name"": ""A\u00e7\u00e3o Educativa""}], ""countries"": [""BR""]}, {""id"": ""A5115751233"", ""name"": ""Erick Benito Rom\u00e1n-Zavala"", ""institutions"": [{""id"": ""I4210098355"", ""display_name"": ""A\u00e7\u00e3o Educativa""}], ""countries"": [""BR""]}, {""id"": ""A5115751234"", ""name"": ""Mar\u00eda Luc\u00eda Chicaiza-Maisincho"", ""institutions"": [{""id"": ""I4210098355"", ""display_name"": ""A\u00e7\u00e3o Educativa""}], ""countries"": [""BR""]}, {""id"": ""A5115751235"", ""name"": ""Luis Antonio Rodr\u00edguez-Campa\u00f1a"", ""institutions"": [], ""countries"": []}]","{""id"": ""subfields/1706"", ""display_name"": ""Computer Science Applications""}","{'id': 'T14100', 'display_name': 'Scientific Research and Technology'}"
W4406022623,10.1504/ijeed.2025.143605,Necessary skills for teachers towards digital information and communication technologies in the current era,2025,"[{""id"": ""A5093939210"", ""name"": ""Victor Borges Canella"", ""institutions"": [{""id"": ""I115891769"", ""display_name"": ""Universidade dos A\u00e7ores""}], ""countries"": [""PT""]}, {""id"": ""A5112849740"", ""name"": ""Daniel Andrada Maria"", ""institutions"": [{""id"": ""I115891769"", ""display_name"": ""Universidade dos A\u00e7ores""}], ""countries"": [""PT""]}, {""id"": ""A5091561796"", ""name"": ""Adriana Miranda Batista"", ""institutions"": [{""id"": ""I115891769"", ""display_name"": ""Universidade dos A\u00e7ores""}], ""countries"": [""PT""]}, {""id"": ""A5082069322"", ""name"": ""N A"", ""institutions"": [], ""countries"": []}, {""id"": ""A5115753885"", ""name"": ""N.A. Aacute"", ""institutions"": [], ""countries"": []}, {""id"": ""A5115753886"", ""name"": ""urea Sandra Toledo d"", ""institutions"": [{""id"": ""I115891769"", ""display_name"": ""Universidade dos A\u00e7ores""}], ""countries"": [""PT""]}, {""id"": ""A5086459497"", ""name"": ""Emanuel Osvaldo de Sousa"", ""institutions"": [{""id"": ""I115891769"", ""display_name"": ""Universidade dos A\u00e7ores""}], ""countries"": [""PT""]}, {""id"": ""A5103368986"", ""name"": ""Maria Eduarda Amaro Ferreira Rocha"", ""institutions"": [{""id"": ""I115891769"", ""display_name"": ""Universidade dos A\u00e7ores""}], ""countries"": [""PT""]}, {""id"": ""A5093939211"", ""name"": ""Luisa Borges Canella"", ""institutions"": [{""id"": ""I142340749"", ""display_name"": ""Universidade de Taubat\u00e9""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1710"", ""display_name"": ""Information Systems""}","{'id': 'T12338', 'display_name': 'Digital literacy in education'}"
