subfield_id,subfield_display_name
subfields/1707,Computer Vision and Pattern Recognition
subfields/1710,Information Systems
subfields/1703,Computational Theory and Mathematics
subfields/1702,Artificial Intelligence
subfields/1705,Computer Networks and Communications
subfields/1706,Computer Science Applications
subfields/1712,Software
subfields/1711,Signal Processing
subfields/1709,Human-Computer Interaction
subfields/1708,Hardware and Architecture
subfields/1704,Computer Graphics and Computer-Aided Design
